

--- Inversion on [256, 128] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  3.0	8.46e-02	7.19e-02	9.24e-02	9.87e-01	845
   .1	8.34e-02	7.24e-02			9.83e-01
  4.0	8.34e-02	7.24e-02	9.24e-02	9.83e-01	760
   .1	8.17e-02	7.32e-02			9.77e-01
  5.0	8.17e-02	7.32e-02	9.24e-02	9.77e-01	665
   .1	7.88e-02	7.42e-02			9.65e-01
  6.0	7.88e-02	7.42e-02	9.24e-02	9.65e-01	584
   .1	7.70e-02	7.48e-02			9.58e-01
  7.0	7.70e-02	7.48e-02	9.24e-02	9.58e-01	618
   .1	7.39e-02	7.60e-02			9.46e-01
  8.0	7.39e-02	7.60e-02	9.24e-02	9.46e-01	494
   .1	7.26e-02	7.64e-02			9.40e-01
  9.0	7.26e-02	7.64e-02	9.24e-02	9.40e-01	488
   .1	7.15e-02	7.66e-02			9.34e-01
 10.0	7.15e-02	7.66e-02	9.24e-02	9.34e-01	529
   .1	7.02e-02	7.70e-02			9.29e-01
 11.0	7.02e-02	7.70e-02	9.24e-02	9.29e-01	505
   .1	6.97e-02	7.71e-02			9.26e-01
 12.0	6.97e-02	7.71e-02	9.24e-02	9.26e-01	530
   .1	6.94e-02	7.72e-02			9.25e-01
 13.0	6.94e-02	7.72e-02	9.24e-02	9.25e-01	626
   .1	6.91e-02	7.74e-02			9.24e-01
 14.0	6.91e-02	7.74e-02	9.24e-02	9.24e-01	510
   .1	6.89e-02	7.76e-02			9.24e-01
 15.0	6.89e-02	7.76e-02	9.24e-02	9.24e-01	563
   .1	6.87e-02	7.74e-02			9.22e-01
 16.0	6.87e-02	7.74e-02	9.24e-02	9.22e-01	572
   .1	6.86e-02	7.74e-02			9.22e-01
 17.0	6.86e-02	7.74e-02	9.24e-02	9.22e-01	522
   .1	6.86e-02	7.74e-02			9.21e-01
 18.0	6.86e-02	7.74e-02	9.24e-02	9.21e-01	525
   .1	6.86e-02	7.74e-02			9.21e-01
 19.0	6.86e-02	7.74e-02	9.24e-02	9.21e-01	505
   .1	6.85e-02	7.73e-02			9.20e-01
 20.0	6.85e-02	7.73e-02	9.24e-02	9.20e-01	466
   .1	6.85e-02	7.73e-02			9.20e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.0035781715552374305 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.057361525104486784 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	6.85e-02	4.80e-02	5.74e-02	1.00e+00	495
   .1	6.80e-02	4.80e-02			9.96e-01
  2.0	6.80e-02	4.80e-02	5.74e-02	9.96e-01	652
   .1	6.77e-02	4.82e-02			9.95e-01
  3.0	6.77e-02	4.82e-02	5.74e-02	9.95e-01	641
   .1	6.75e-02	4.84e-02			9.95e-01
  4.0	6.75e-02	4.84e-02	5.74e-02	9.95e-01	734
   .1	6.74e-02	4.86e-02			9.95e-01
   .2	6.75e-02	4.82e-02			9.93e-01
  5.0	6.75e-02	4.82e-02	5.74e-02	9.93e-01	247
   .1	6.73e-02	4.84e-02			9.93e-01
   .2	6.74e-02	4.82e-02			9.92e-01
  6.0	6.74e-02	4.82e-02	5.74e-02	9.92e-01	111
   .1	6.72e-02	4.83e-02			9.91e-01
  7.0	6.72e-02	4.83e-02	5.74e-02	9.91e-01	1213
   .1	6.68e-02	4.85e-02			9.90e-01
  8.0	6.68e-02	4.85e-02	5.74e-02	9.90e-01	1336
   .1	6.67e-02	4.87e-02			9.91e-01
   .2	6.68e-02	4.85e-02			9.89e-01
  9.0	6.68e-02	4.85e-02	5.74e-02	9.89e-01	969
   .1	6.64e-02	4.88e-02			9.89e-01
 10.0	6.64e-02	4.88e-02	5.74e-02	9.89e-01	1053
   .1	6.59e-02	4.91e-02			9.87e-01
 11.0	6.59e-02	4.91e-02	5.74e-02	9.87e-01	985
   .1	6.50e-02	4.95e-02			9.83e-01
 12.0	6.50e-02	4.95e-02	5.74e-02	9.83e-01	799
   .1	6.39e-02	4.98e-02			9.77e-01
 13.0	6.39e-02	4.98e-02	5.74e-02	9.77e-01	838
   .1	6.11e-02	5.08e-02			9.60e-01
 14.0	6.11e-02	5.08e-02	5.74e-02	9.60e-01	776
   .1	5.76e-02	5.21e-02			9.42e-01
