

--- Inversion on [96, 48, 48] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  3.0	5.97e-02	1.39e-01	1.49e-01	9.92e-01	9231
   .1	5.89e-02	1.40e-01			9.91e-01
  4.0	5.89e-02	1.40e-01	1.49e-01	9.91e-01	10936
   .1	5.83e-02	1.41e-01			9.90e-01
  5.0	5.83e-02	1.41e-01	1.49e-01	9.90e-01	8313
   .1	5.74e-02	1.41e-01			9.88e-01
  6.0	5.74e-02	1.41e-01	1.49e-01	9.88e-01	7825
   .1	5.41e-02	1.43e-01			9.80e-01
  7.0	5.41e-02	1.43e-01	1.49e-01	9.80e-01	10263
   .1	4.74e-02	1.46e-01			9.64e-01
  8.0	4.74e-02	1.46e-01	1.49e-01	9.64e-01	12012
   .1	4.47e-02	1.47e-01			9.54e-01
  9.0	4.47e-02	1.47e-01	1.49e-01	9.54e-01	15509
   .1	4.06e-02	1.49e-01			9.43e-01
 10.0	4.06e-02	1.49e-01	1.49e-01	9.43e-01	21129
   .1	4.01e-02	1.48e-01			9.37e-01
 11.0	4.01e-02	1.48e-01	1.49e-01	9.37e-01	17533
   .1	3.97e-02	1.48e-01			9.33e-01
 12.0	3.97e-02	1.48e-01	1.49e-01	9.33e-01	20468
   .1	4.00e-02	1.47e-01			9.32e-01
 13.0	4.00e-02	1.47e-01	1.49e-01	9.32e-01	17437
   .1	4.02e-02	1.47e-01			9.31e-01
 14.0	4.02e-02	1.47e-01	1.49e-01	9.31e-01	25040
   .1	4.03e-02	1.47e-01			9.31e-01
 15.0	4.03e-02	1.47e-01	1.49e-01	9.31e-01	21880
   .1	4.03e-02	1.47e-01			9.31e-01
   .2	4.03e-02	1.46e-01			9.30e-01
 16.0	4.03e-02	1.46e-01	1.49e-01	9.30e-01	8789
   .1	4.04e-02	1.46e-01			9.30e-01
 17.0	4.04e-02	1.46e-01	1.49e-01	9.30e-01	18523
   .1	4.03e-02	1.46e-01			9.30e-01
 18.0	4.03e-02	1.46e-01	1.49e-01	9.30e-01	15538
   .1	4.04e-02	1.46e-01			9.30e-01
   .2	4.04e-02	1.46e-01			9.29e-01
 19.0	4.04e-02	1.46e-01	1.49e-01	9.29e-01	4646
   .1	4.04e-02	1.46e-01			9.29e-01
 20.0	4.04e-02	1.46e-01	1.49e-01	9.29e-01	10872
   .1	4.04e-02	1.46e-01			9.29e-01
   .2	4.04e-02	1.46e-01			9.29e-01
projGN reached desired accuracy at iteration 20.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.09236708571873861 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	4.04e-02	9.08e-02	9.24e-02	1.00e+00	3058
   .1	3.85e-02	9.20e-02			9.95e-01
  2.0	3.85e-02	9.20e-02	9.24e-02	9.95e-01	17097
   .1	3.78e-02	9.26e-02			9.94e-01
  3.0	3.78e-02	9.26e-02	9.24e-02	9.94e-01	19545
   .1	3.74e-02	9.30e-02			9.94e-01
  4.0	3.74e-02	9.30e-02	9.24e-02	9.94e-01	13673
   .1	3.69e-02	9.33e-02			9.93e-01
  5.0	3.69e-02	9.33e-02	9.24e-02	9.93e-01	12697
   .1	3.61e-02	9.37e-02			9.90e-01
  6.0	3.61e-02	9.37e-02	9.24e-02	9.90e-01	12957
   .1	3.40e-02	9.47e-02			9.81e-01
  7.0	3.40e-02	9.47e-02	9.24e-02	9.81e-01	15544
   .1	3.15e-02	9.58e-02			9.70e-01
  8.0	3.15e-02	9.58e-02	9.24e-02	9.70e-01	20212
   .1	2.99e-02	9.63e-02			9.62e-01
  9.0	2.99e-02	9.63e-02	9.24e-02	9.62e-01	20656
   .1	2.89e-02	9.65e-02			9.56e-01
 10.0	2.89e-02	9.65e-02	9.24e-02	9.56e-01	17885
   .1	2.89e-02	9.62e-02			9.53e-01
 11.0	2.89e-02	9.62e-02	9.24e-02	9.53e-01	15087
   .1	2.89e-02	9.60e-02			9.52e-01
 12.0	2.89e-02	9.60e-02	9.24e-02	9.52e-01	20637
   .1	2.87e-02	9.60e-02			9.51e-01
 13.0	2.87e-02	9.60e-02	9.24e-02	9.51e-01	16391
   .1	2.88e-02	9.59e-02			9.50e-01
 14.0	2.88e-02	9.59e-02	9.24e-02	9.50e-01	24208
   .1	2.88e-02	9.59e-02			9.50e-01
 15.0	2.88e-02	9.59e-02	9.24e-02	9.50e-01	16749
   .1	2.88e-02	9.58e-02			9.50e-01
   .2	2.88e-02	9.58e-02			9.49e-01
 16.0	2.88e-02	9.58e-02	9.24e-02	9.49e-01	5129
   .1	2.87e-02	9.57e-02			9.49e-01
 17.0	2.87e-02	9.57e-02	9.24e-02	9.49e-01	10733
   .1	2.88e-02	9.57e-02			9.49e-01
   .2	2.87e-02	9.57e-02			9.49e-01
 18.0	2.87e-02	9.57e-02	9.24e-02	9.49e-01	3036
   .1	2.87e-02	9.57e-02			9.49e-01
 19.0	2.87e-02	9.57e-02	9.24e-02	9.49e-01	7495
   .1	2.87e-02	9.57e-02			9.49e-01
   .2	2.87e-02	9.57e-02			9.49e-01
 20.0	2.87e-02	9.57e-02	9.24e-02	9.49e-01	3176
   .1	2.87e-02	9.57e-02			9.49e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.0019907081576389096 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.057361525104486784 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.87e-02	5.94e-02	5.74e-02	1.00e+00	5378
   .1	2.78e-02	6.01e-02			9.97e-01
  2.0	2.78e-02	6.01e-02	5.74e-02	9.97e-01	10945
   .1	2.73e-02	6.04e-02			9.95e-01
  3.0	2.73e-02	6.04e-02	5.74e-02	9.95e-01	11456
   .1	2.71e-02	6.06e-02			9.95e-01
  4.0	2.71e-02	6.06e-02	5.74e-02	9.95e-01	16789
   .1	2.68e-02	6.08e-02			9.94e-01
  5.0	2.68e-02	6.08e-02	5.74e-02	9.94e-01	16535
   .1	2.65e-02	6.10e-02			9.92e-01
  6.0	2.65e-02	6.10e-02	5.74e-02	9.92e-01	20537
   .1	2.59e-02	6.13e-02			9.89e-01
  7.0	2.59e-02	6.13e-02	5.74e-02	9.89e-01	20124
   .1	2.52e-02	6.16e-02			9.85e-01
  8.0	2.52e-02	6.16e-02	5.74e-02	9.85e-01	24129
   .1	2.46e-02	6.19e-02			9.80e-01
  9.0	2.46e-02	6.19e-02	5.74e-02	9.80e-01	23616
   .1	2.42e-02	6.20e-02			9.77e-01
 10.0	2.42e-02	6.20e-02	5.74e-02	9.77e-01	20927
   .1	2.39e-02	6.20e-02			9.75e-01
 11.0	2.39e-02	6.20e-02	5.74e-02	9.75e-01	20918
   .1	2.36e-02	6.22e-02			9.73e-01
 12.0	2.36e-02	6.22e-02	5.74e-02	9.73e-01	21718
   .1	2.36e-02	6.21e-02			9.72e-01
 13.0	2.36e-02	6.21e-02	5.74e-02	9.72e-01	21948
   .1	2.35e-02	6.21e-02			9.71e-01
 14.0	2.35e-02	6.21e-02	5.74e-02	9.71e-01	20591
   .1	2.35e-02	6.21e-02			9.71e-01
 15.0	2.35e-02	6.21e-02	5.74e-02	9.71e-01	23982
   .1	2.35e-02	6.21e-02			9.71e-01
 16.0	2.35e-02	6.21e-02	5.74e-02	9.71e-01	19306
   .1	2.35e-02	6.21e-02			9.71e-01
 17.0	2.35e-02	6.21e-02	5.74e-02	9.71e-01	21935
   .1	2.34e-02	6.21e-02			9.71e-01
 18.0	2.34e-02	6.21e-02	5.74e-02	9.71e-01	19913
   .1	2.34e-02	6.21e-02			9.71e-01
 19.0	2.34e-02	6.21e-02	5.74e-02	9.71e-01	20788
   .1	2.34e-02	6.21e-02			9.70e-01
 20.0	2.34e-02	6.21e-02	5.74e-02	9.70e-01	17171
   .1	2.34e-02	6.21e-02			9.70e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.00111401406501499 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.035622478902624426 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.34e-02	3.86e-02	3.56e-02	1.00e+00	17474
   .1	2.28e-02	3.90e-02			9.97e-01
  2.0	2.28e-02	3.90e-02	3.56e-02	9.97e-01	8581
   .1	2.25e-02	3.92e-02			9.95e-01
  3.0	2.25e-02	3.92e-02	3.56e-02	9.95e-01	15472
   .1	2.22e-02	3.94e-02			9.93e-01
  4.0	2.22e-02	3.94e-02	3.56e-02	9.93e-01	24134
   .1	2.19e-02	3.96e-02			9.92e-01
  5.0	2.19e-02	3.96e-02	3.56e-02	9.92e-01	24166
   .1	2.16e-02	3.98e-02			9.90e-01
  6.0	2.16e-02	3.98e-02	3.56e-02	9.90e-01	18533
   .1	2.13e-02	4.00e-02			9.89e-01
  7.0	2.13e-02	4.00e-02	3.56e-02	9.89e-01	17930
   .1	2.11e-02	4.01e-02			9.87e-01
  8.0	2.11e-02	4.01e-02	3.56e-02	9.87e-01	20079
   .1	2.08e-02	4.03e-02			9.85e-01
  9.0	2.08e-02	4.03e-02	3.56e-02	9.85e-01	19899
   .1	2.07e-02	4.03e-02			9.85e-01
 10.0	2.07e-02	4.03e-02	3.56e-02	9.85e-01	24208
   .1	2.06e-02	4.04e-02			9.84e-01
 11.0	2.06e-02	4.04e-02	3.56e-02	9.84e-01	19912
   .1	2.06e-02	4.04e-02			9.83e-01
 12.0	2.06e-02	4.04e-02	3.56e-02	9.83e-01	24121
   .1	2.05e-02	4.04e-02			9.83e-01
 13.0	2.05e-02	4.04e-02	3.56e-02	9.83e-01	21032
   .1	2.05e-02	4.04e-02			9.83e-01
 14.0	2.05e-02	4.04e-02	3.56e-02	9.83e-01	22345
   .1	2.05e-02	4.04e-02			9.83e-01
 15.0	2.05e-02	4.04e-02	3.56e-02	9.83e-01	19558
   .1	2.05e-02	4.04e-02			9.83e-01
projGN reached desired accuracy at iteration 15.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.022122162910704492 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	2.05e-02	2.51e-02	2.21e-02	1.00e+00	20185
   .1	2.01e-02	2.54e-02			9.97e-01
